uniprot_id,job_id_single,job_id_multiple
P9WGY9,,
P9WH63,17146391396451154,17146391459718156
P9WIE5,,
I6XD65,17146393716572719,17146393941367278
P9WG57,,17146394848194242
P9WNL9,17146395281755228,17146395582713742
P9WNL7,17146398178120768,
P9WNF9,17146413649784784,1714641391474905
P9WG47,17146414992154284,17146415271849525
P9WNE1,17146417650749187,17146417837151792
P9WMY7,17146418452664533,17146418728194473
O06393,17146420421848,1714642058578834
P9WGY7,17146421366105726,17146421690780926
P9WJV1,17146424554991353,171464248546837
P9WJS7,17146427352606065,17146427441675935
P9WJX9,17146427503747625,17146427724298537
,,
P9WH43,17146428093133047,17146428317633471
P9WI73,,
Q79FI8,,17146430382429326
P9WQM5,,
P9WQB1,17146433489804583,17146433684995093
P9WNF7,17146433939951403,17146434205401003
P9WIQ3,1714643502469088,17146435272209432
L7N665,,17146436532713282
O53582,17146437104986148,1714643739286595
P9WF37,17146438848547647,17146439005783467
P9WGW9,17146439132422998,17146439384408817
P9WGT3,17146440384079466,17146440487964542
P9WGR1,17146440893140976,1714644103494331
P9WG45,17146441256459267,17146441538970504
P9WFR9,,
P9WQA9,,
P9WPC9,17146443337314887,17146443622622318
P9WFK7,,17146472085057337
P9WP77,17146472370941424,17146472654434795
P9WQD9,1714647500849333,17146475201003516
I6Y0R5,17146476276600428,17146476531568048
P71968,17146476910939193,17146477035829177
P9WNL5,17146477146169453,1714647744350029
I6Y8F7,,
P9WPS1,17146480152986488,17146480215430138
I6YDN6,,17146480386447608
P9WFR5,1714648064352441,17146480814467623
P9WGZ1,1714648131179524,17146481483167622
P9WQB7,17146482333659859,1714648243766257
P9WMC1,17146482565655158,17146482714096544
P9WP81,17146482823576334,17146482975133815
P95160,1714648310219111,17146483336265075
P9WGZ9,1714648378394059,17146484056595256
P9WGJ9,1714648470555017,1714648489742644
P9WIL3,17146485321323304,17146485400074944
P9WH87,17146485461729817,171464855649375
P9WP79,17146485640703783,17146485860793974
P9WP83,17146486364506507,17146486495899928
P9WP15,1714648677738078,171464868671639
Q6MX01,1714648693621146,1714648700947184
