Gene,Num_Mutations_On_Interface,Num_Mutations_Not_On_Interface,Ratio_On_Interface
bacA,0,0,0.0
ccsA,0,0,0.0
eis,0,0,0.0
rrs,0,0,0.0
Rv2477c,0,0,0.0
whiB6,0,0,0.0
whiB7,0,0,0.0
atpE,6,0,1.0
lpqB,0,0,0.0
mmpL5,0,0,0.0
mmpS5,0,0,0.0
mtrA,0,0,0.0
mtrB,0,0,0.0
pepQ,2,10,0.16666666666666666
Rv0678,0,125,0.0
Rv1979c,0,0,0.0
rrl,0,0,0.0
Rv2680,0,0,0.0
Rv2681,0,0,0.0
tlyA,7,64,0.09859154929577464
fbiA,1,2,0.3333333333333333
fbiB,0,1,0.0
fbiC,0,6,0.0
fgd1,2,0,1.0
Rv2983,0,1,0.0
ddn,2,13,0.13333333333333333
ndh,0,0,0.0
aftB,0,0,0.0
embA,0,4,0.0
embB,0,88,0.0
embC,0,21,0.0
embR,4,13,0.23529411764705882
glpK,0,0,0.0
Rv2752c,0,0,0.0
ubiA,0,0,0.0
ethA,38,254,0.13013698630136986
ethR,0,0,0.0
inhA,0,9,0.0
mshA,0,0,0.0
Rv0565c,0,0,0.0
Rv3083,0,0,0.0
ahpC,0,3,0.0
dnaA,0,0,0.0
hadA,0,0,0.0
katG,30,213,0.12345679012345678
Rv0010c,0,0,0.0
Rv1129c,0,0,0.0
Rv1258c,0,0,0.0
gyrA,12,18,0.4
gyrB,2,22,0.08333333333333333
rplC,1,0,1.0
tsnR,0,0,0.0
clpC1,0,0,0.0
panD,4,5,0.4444444444444444
pncA,100,285,0.2597402597402597
PPE35,0,0,0.0
rpsA,0,3,0.0
Rv3236c,0,0,0.0
sigE,0,0,0.0
nusG,0,0,0.0
rpoA,0,0,0.0
rpoB,0,162,0.0
rpoC,0,0,0.0
gid,21,130,0.1390728476821192
rpsL,13,0,1.0
thyA,3,15,0.16666666666666666
folC,5,13,0.2777777777777778
kasA,1,3,0.25
mmpR5,2,2,0.5
thyX,0,0,0.0
ald,0,0,0.0
alr,0,3,0.0
ribD,0,1,0.0
